"id_pipeline","event_message","timestamp"
"2025-02-21 13:53:41.703904","Iniciando job ETL...","2025-02-21 13:53:41.703928"
"2025-02-21 13:53:46.281901","Datos cargados desde Glue Catalog exitosamente.","2025-02-21 13:53:46.281916"
"2025-02-21 13:53:46.459421","Se transformaron los datos correctamente.","2025-02-21 13:53:46.459435"
"2025-02-21 13:54:09.090083","Datos cargados a S3 exitosamente.","2025-02-21 13:54:09.090100"
"2025-02-21 13:54:09.098781","Job ETL completado correctamente.","2025-02-21 13:54:09.098792"
"2025-02-21 14:15:13.832866","Iniciando job ETL...","2025-02-21 14:15:13.832887"
"2025-02-21 14:15:18.219582","Datos cargados desde Glue Catalog exitosamente.","2025-02-21 14:15:18.219599"
"2025-02-21 14:15:18.420395","Se transformaron los datos correctamente.","2025-02-21 14:15:18.420412"
"2025-02-21 14:15:39.576472","Datos cargados a S3 exitosamente.","2025-02-21 14:15:39.576492"
"2025-02-21 14:15:39.587388","Job ETL completado correctamente.","2025-02-21 14:15:39.587405"
